Period,DataYear,PeriodCode,Sum.Rain,Sum.Days>1inch,Tot.Lambra,PRH.Lambda,NDB.Lambda,SB.Lambda,Tot.Pups,PRH.cows,NDB.Cows,SB.Cows
Dec16-31,2009,A,3.44,1,1.19,0.59,2.7,3.69,748.16,167,465,59
Jan1-15,2009,B,0.29,0,1.19,0.59,2.7,3.69,748.16,167,465,59
Jan16-31,2009,C,0.24,0,1.19,0.59,2.7,3.69,748.16,167,465,59
Dec16-31,2010,A,1.96,0,1.13,1.42,0.82,0.61,843,237,379,36
Jan1-15,2010,B,1.35,0,1.13,1.42,0.82,0.61,843,237,379,36
Jan16-31,2010,C,11.57,5,1.13,1.42,0.82,0.61,843,237,379,36
Dec16-31,2011,A,7.34,4,0.99,0.89,1,0.89,834,212,379,32
Jan1-15,2011,B,1.28,0,0.99,0.89,1,0.89,834,212,379,32
Jan16-31,2011,C,0.64,0,0.99,0.89,1,0.89,834,212,379,32
Dec16-31,2012,A,0.24,0,1.13,1.17,0.97,1.22,944,247,368,39
Jan1-15,2012,B,0.04,0,1.13,1.17,0.97,1.22,944,247,368,39
Jan16-31,2012,C,6.56,3,1.13,1.17,0.97,1.22,944,247,368,39
Dec16-31,2013,A,7.18,3,1,1.07,0.91,0.67,942,264,335,26
Jan1-15,2013,B,0.61,0,1,1.07,0.91,0.67,942,264,335,26
Jan16-31,2013,C,0.54,0,1,1.07,0.91,0.67,942,264,335,26
